method,config,instance,avg_best8,best8,worst8,std8
GRASP,"iter=80;rcl=4;ls=230",cap41_ss,1.68655e+06,1.65003e+06,1.7239e+06,21476.9
GRASP,"iter=80;rcl=4;ls=230",cap81_ss,1.2704e+06,1.2381e+06,1.29758e+06,21006.9
GRASP,"iter=80;rcl=4;ls=230",cap111_ss,1.2702e+06,1.25097e+06,1.29149e+06,14916.3
GRASP,"iter=80;rcl=5;ls=230",cap41_ss,1.70437e+06,1.64904e+06,1.74618e+06,32404.1
GRASP,"iter=80;rcl=5;ls=230",cap81_ss,1.28417e+06,1.2456e+06,1.33443e+06,25305.6
GRASP,"iter=80;rcl=5;ls=230",cap111_ss,1.2921e+06,1.26446e+06,1.31673e+06,19873.4
GRASP,"iter=80;rcl=6;ls=230",cap41_ss,1.74116e+06,1.70465e+06,1.78653e+06,27552.4
GRASP,"iter=80;rcl=6;ls=230",cap81_ss,1.31521e+06,1.2891e+06,1.34022e+06,15922.1
GRASP,"iter=80;rcl=6;ls=230",cap111_ss,1.31832e+06,1.30087e+06,1.34581e+06,14837.7
GRASP,"iter=80;rcl=2;ls=250",cap41_ss,1.64154e+06,1.61963e+06,1.66985e+06,16072.9
GRASP,"iter=80;rcl=2;ls=250",cap81_ss,1.22518e+06,1.21268e+06,1.24543e+06,9031.11
GRASP,"iter=80;rcl=2;ls=250",cap111_ss,1.21471e+06,1.20687e+06,1.22653e+06,6112.69
GRASP,"iter=80;rcl=3;ls=250",cap41_ss,1.6562e+06,1.63229e+06,1.683e+06,15943.9
GRASP,"iter=80;rcl=3;ls=250",cap81_ss,1.24965e+06,1.23309e+06,1.26345e+06,8721.29
GRASP,"iter=80;rcl=3;ls=250",cap111_ss,1.23881e+06,1.21602e+06,1.26418e+06,16368.6
GRASP,"iter=80;rcl=4;ls=250",cap41_ss,1.67231e+06,1.63692e+06,1.6981e+06,21647.3
GRASP,"iter=80;rcl=4;ls=250",cap81_ss,1.27265e+06,1.25775e+06,1.28202e+06,7581.02
GRASP,"iter=80;rcl=4;ls=250",cap111_ss,1.26694e+06,1.25344e+06,1.28208e+06,9407.62
GRASP,"iter=80;rcl=5;ls=250",cap41_ss,1.71069e+06,1.68874e+06,1.73115e+06,15289.4
GRASP,"iter=80;rcl=5;ls=250",cap81_ss,1.28703e+06,1.27599e+06,1.29725e+06,8437.76
GRASP,"iter=80;rcl=5;ls=250",cap111_ss,1.28999e+06,1.26855e+06,1.30811e+06,12437.7
GRASP,"iter=80;rcl=6;ls=250",cap41_ss,1.72252e+06,1.68394e+06,1.74775e+06,21934.1
GRASP,"iter=80;rcl=6;ls=250",cap81_ss,1.30434e+06,1.28258e+06,1.32775e+06,16270.7
GRASP,"iter=80;rcl=6;ls=250",cap111_ss,1.30653e+06,1.29411e+06,1.32668e+06,10719.2
GRASP,"iter=80;rcl=2;ls=270",cap41_ss,1.63455e+06,1.60712e+06,1.66459e+06,17663.7
GRASP,"iter=80;rcl=2;ls=270",cap81_ss,1.21898e+06,1.20671e+06,1.234e+06,9112.9
GRASP,"iter=80;rcl=2;ls=270",cap111_ss,1.21341e+06,1.20774e+06,1.22201e+06,4525.64
GRASP,"iter=80;rcl=3;ls=270",cap41_ss,1.65584e+06,1.62399e+06,1.66926e+06,14799.1
GRASP,"iter=80;rcl=3;ls=270",cap81_ss,1.24525e+06,1.22606e+06,1.25896e+06,9525.76
GRASP,"iter=80;rcl=3;ls=270",cap111_ss,1.24345e+06,1.22348e+06,1.25458e+06,9700.34
GRASP,"iter=80;rcl=4;ls=270",cap41_ss,1.67131e+06,1.63462e+06,1.69475e+06,20945.8
GRASP,"iter=80;rcl=4;ls=270",cap81_ss,1.26736e+06,1.24478e+06,1.28278e+06,12616.1
GRASP,"iter=80;rcl=4;ls=270",cap111_ss,1.26429e+06,1.25368e+06,1.27708e+06,8048.65
GRASP,"iter=80;rcl=5;ls=270",cap41_ss,1.6986e+06,1.67747e+06,1.71717e+06,11270.2
GRASP,"iter=80;rcl=5;ls=270",cap81_ss,1.28991e+06,1.26794e+06,1.32181e+06,17947
GRASP,"iter=80;rcl=5;ls=270",cap111_ss,1.27891e+06,1.24188e+06,1.31217e+06,19384.9
GRASP,"iter=80;rcl=6;ls=270",cap41_ss,1.70673e+06,1.65633e+06,1.74924e+06,29171.7
GRASP,"iter=80;rcl=6;ls=270",cap81_ss,1.29744e+06,1.27486e+06,1.32001e+06,14458.1
GRASP,"iter=80;rcl=6;ls=270",cap111_ss,1.30621e+06,1.28664e+06,1.3247e+06,12787.9
