method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=240000;cool=0.997;tmin=8;iter=6",cap41_ss,1.5685e+06,1.56154e+06,1.58678e+06,8535.64
SA,"t0=240000;cool=0.997;tmin=8;iter=6",cap81_ss,1.18768e+06,1.18314e+06,1.19721e+06,4179.78
SA,"t0=240000;cool=0.997;tmin=8;iter=6",cap111_ss,1.18483e+06,1.17421e+06,1.19543e+06,6563.29
SA,"t0=240000;cool=0.997;tmin=8;iter=7",cap41_ss,1.56802e+06,1.5619e+06,1.588e+06,7895.68
SA,"t0=240000;cool=0.997;tmin=8;iter=7",cap81_ss,1.18995e+06,1.18074e+06,1.19523e+06,4506.72
SA,"t0=240000;cool=0.997;tmin=8;iter=7",cap111_ss,1.17954e+06,1.17189e+06,1.19285e+06,6280.61
SA,"t0=240000;cool=0.998;tmin=8;iter=2",cap41_ss,1.58223e+06,1.57202e+06,1.59184e+06,5273.17
SA,"t0=240000;cool=0.998;tmin=8;iter=2",cap81_ss,1.20034e+06,1.1909e+06,1.22019e+06,9592.11
SA,"t0=240000;cool=0.998;tmin=8;iter=2",cap111_ss,1.18774e+06,1.17273e+06,1.20265e+06,8328.67
SA,"t0=240000;cool=0.998;tmin=8;iter=3",cap41_ss,1.56869e+06,1.55975e+06,1.57883e+06,5612.81
SA,"t0=240000;cool=0.998;tmin=8;iter=3",cap81_ss,1.19121e+06,1.18608e+06,1.20149e+06,4443.69
SA,"t0=240000;cool=0.998;tmin=8;iter=3",cap111_ss,1.18275e+06,1.17757e+06,1.1907e+06,4728.23
SA,"t0=240000;cool=0.998;tmin=8;iter=4",cap41_ss,1.568e+06,1.55975e+06,1.5779e+06,6588.7
SA,"t0=240000;cool=0.998;tmin=8;iter=4",cap81_ss,1.18936e+06,1.18314e+06,1.2046e+06,6736.33
SA,"t0=240000;cool=0.998;tmin=8;iter=4",cap111_ss,1.17712e+06,1.16536e+06,1.18385e+06,5683.83
SA,"t0=240000;cool=0.998;tmin=8;iter=5",cap41_ss,1.56499e+06,1.55975e+06,1.57144e+06,3768.44
SA,"t0=240000;cool=0.998;tmin=8;iter=5",cap81_ss,1.18858e+06,1.18487e+06,1.19599e+06,3720.53
