method,config,instance,avg_best8,best8,worst8,std8
VNS,"iter=80;shake=8;ls=250",cap81_ss,1.1917e+06,1.18622e+06,1.20338e+06,5368.99
VNS,"iter=80;shake=8;ls=250",cap111_ss,1.20045e+06,1.19409e+06,1.2125e+06,5967.97
VNS,"iter=80;shake=10;ls=250",cap41_ss,1.56808e+06,1.55975e+06,1.57874e+06,6772.81
VNS,"iter=80;shake=10;ls=250",cap81_ss,1.18973e+06,1.18314e+06,1.19644e+06,5297.5
VNS,"iter=80;shake=10;ls=250",cap111_ss,1.19737e+06,1.18149e+06,1.21676e+06,11241.4
VNS,"iter=80;shake=2;ls=270",cap41_ss,1.56436e+06,1.56164e+06,1.56821e+06,2268.23
VNS,"iter=80;shake=2;ls=270",cap81_ss,1.18891e+06,1.18324e+06,1.19405e+06,3161.42
VNS,"iter=80;shake=2;ls=270",cap111_ss,1.20159e+06,1.19147e+06,1.21153e+06,7464.38
VNS,"iter=80;shake=4;ls=270",cap41_ss,1.56953e+06,1.56115e+06,1.58986e+06,9183.49
VNS,"iter=80;shake=4;ls=270",cap81_ss,1.19024e+06,1.18633e+06,1.19642e+06,3294.39
VNS,"iter=80;shake=4;ls=270",cap111_ss,1.20033e+06,1.18411e+06,1.21529e+06,10552.8
VNS,"iter=80;shake=6;ls=270",cap41_ss,1.56789e+06,1.55975e+06,1.57734e+06,5734.05
VNS,"iter=80;shake=6;ls=270",cap81_ss,1.18737e+06,1.18372e+06,1.19262e+06,2552.24
VNS,"iter=80;shake=6;ls=270",cap111_ss,1.18929e+06,1.17704e+06,1.19736e+06,6311.02
VNS,"iter=80;shake=8;ls=270",cap41_ss,1.56851e+06,1.5627e+06,1.57635e+06,4129.95
VNS,"iter=80;shake=8;ls=270",cap81_ss,1.19091e+06,1.18668e+06,1.19368e+06,2470.14
VNS,"iter=80;shake=8;ls=270",cap111_ss,1.20196e+06,1.19249e+06,1.21392e+06,7837.76
VNS,"iter=80;shake=10;ls=270",cap41_ss,1.5676e+06,1.56296e+06,1.5786e+06,4592.45
VNS,"iter=80;shake=10;ls=270",cap81_ss,1.18878e+06,1.18324e+06,1.1957e+06,4465.02
VNS,"iter=80;shake=10;ls=270",cap111_ss,1.19531e+06,1.17823e+06,1.215e+06,10910.9
VNS,"iter=100;shake=2;ls=160",cap41_ss,1.57152e+06,1.56039e+06,1.57848e+06,6316.84
VNS,"iter=100;shake=2;ls=160",cap81_ss,1.19429e+06,1.18806e+06,1.20504e+06,6465.5
VNS,"iter=100;shake=2;ls=160",cap111_ss,1.20237e+06,1.18975e+06,1.21067e+06,6511.26
VNS,"iter=100;shake=4;ls=160",cap41_ss,1.57006e+06,1.56076e+06,1.58924e+06,8591.64
VNS,"iter=100;shake=4;ls=160",cap81_ss,1.19075e+06,1.18379e+06,1.19715e+06,4889.03
VNS,"iter=100;shake=4;ls=160",cap111_ss,1.20482e+06,1.18587e+06,1.2222e+06,11709.8
VNS,"iter=100;shake=6;ls=160",cap41_ss,1.56823e+06,1.56261e+06,1.58166e+06,6561.81
VNS,"iter=100;shake=6;ls=160",cap81_ss,1.19232e+06,1.18412e+06,1.19757e+06,4041.1
